time_ms,detector_state,anomaly_belief,anomaly_plausibility,anomaly_decision_score,anomaly_ignorance,detection_conflict,estimated_origin,origin_score,origin_belief,origin_plausibility,origin_margin,origin_ignorance,localization_conflict,propagation_support,observed_evidence_path,alarm,localization_valid,alarm_timestamp_ms,localization_timestamp_ms,detection_fallback,localization_fallback,timing_evidence,timing_detection_reliability,timing_origin_reliability,communication_evidence,communication_detection_reliability,communication_origin_reliability,memory_control_evidence,memory_control_detection_reliability,memory_control_origin_reliability,sensor_control_evidence,sensor_control_detection_reliability,sensor_control_origin_reliability,actuator_evidence,actuator_detection_reliability,actuator_origin_reliability,plant_evidence,plant_detection_reliability,plant_origin_reliability,detection_K_0,localization_K_0,detection_K_1,localization_K_1,detection_K_2,localization_K_2,detection_K_3,localization_K_3,detection_K_4,localization_K_4,detection_K_5,localization_K_5,detection_K_6,localization_K_6,origin_mass_1,origin_mass_2,origin_mass_3,origin_mass_4,origin_mass_5,origin_mass_6,origin_mass_7,origin_mass_8,origin_mass_9,origin_mass_10,origin_mass_11,origin_mass_12,origin_mass_13,origin_mass_14,origin_mass_15,origin_mass_16,origin_mass_17,origin_mass_18,origin_mass_19,origin_mass_20,origin_mass_21,origin_mass_22,origin_mass_23,origin_mass_24,origin_mass_25,origin_mass_26,origin_mass_27,origin_mass_28,origin_mass_29,origin_mass_30,origin_mass_31,detection_mass_normal,detection_mass_abnormal,detection_mass_ignorance
3000,NORMAL,8.2159752697012815e-05,1,8.2159752697012815e-05,0.99991784024730301,0,UNKNOWN,0.2000246479258091,0,1,0,0.99991784024730301,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2159752697012815e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99991784024730301,0,8.2159752697012815e-05,0.99991784024730301
3100,NORMAL,6.5727802157610249e-05,1,6.5727802157610249e-05,0.99993427219784237,0,UNKNOWN,0.2000197183406473,0,1,0,0.99993427219784237,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5727802157610249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99993427219784237,0,6.5727802157610249e-05,0.99993427219784237
3200,NORMAL,5.2582241726088201e-05,1,5.2582241726088201e-05,0.99994741775827389,0,UNKNOWN,0.20001577467251783,0,1,0,0.99994741775827389,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2582241726088201e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99994741775827389,0,5.2582241726088201e-05,0.99994741775827389
3300,NORMAL,4.2065793380870561e-05,1,4.2065793380870561e-05,0.99995793420661916,0,UNKNOWN,0.20001261973801429,0,1,0,0.99995793420661916,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2065793380870561e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99995793420661916,0,4.2065793380870561e-05,0.99995793420661916
3400,NORMAL,3.365263470469645e-05,1,3.365263470469645e-05,0.99996634736529533,0,UNKNOWN,0.2000100957904114,0,1,0,0.99996634736529533,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.365263470469645e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99996634736529533,0,3.365263470469645e-05,0.99996634736529533
3500,NORMAL,2.6922107763757161e-05,1,2.6922107763757161e-05,0.99997307789223622,0,UNKNOWN,0.20000807663232914,0,1,0,0.99997307789223622,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6922107763757161e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99997307789223622,0,2.6922107763757161e-05,0.99997307789223622
3600,NORMAL,2.153768621100573e-05,1,2.153768621100573e-05,0.99997846231378895,0,UNKNOWN,0.20000646130586328,0,1,0,0.99997846231378895,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.153768621100573e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99997846231378895,0,2.153768621100573e-05,0.99997846231378895
3700,NORMAL,1.7230148968804583e-05,1,1.7230148968804583e-05,0.99998276985103118,0,UNKNOWN,0.20000516904469065,0,1,0,0.99998276985103118,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7230148968804583e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99998276985103118,0,1.7230148968804583e-05,0.99998276985103118
3800,NORMAL,1.3784119175043668e-05,1,1.3784119175043668e-05,0.99998621588082492,0,UNKNOWN,0.2000041352357525,0,1,0,0.99998621588082492,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3784119175043668e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99998621588082492,0,1.3784119175043668e-05,0.99998621588082492
3900,NORMAL,1.1027295340034934e-05,1,1.1027295340034934e-05,0.99998897270465992,0,UNKNOWN,0.20000330818860199,0,1,0,0.99998897270465992,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1027295340034934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99998897270465992,0,1.1027295340034934e-05,0.99998897270465992
4000,NORMAL,8.8218362720279473e-06,1,8.8218362720279473e-06,0.99999117816372796,0,UNKNOWN,0.20000264655088162,0,1,0,0.99999117816372796,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8218362720279473e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99999117816372796,0,8.8218362720279473e-06,0.99999117816372796
4100,NORMAL,7.0574690176223578e-06,1,7.0574690176223578e-06,0.99999294253098236,0,UNKNOWN,0.2000021172407053,0,1,0,0.99999294253098236,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0574690176223578e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99999294253098236,0,7.0574690176223578e-06,0.99999294253098236
4200,NORMAL,5.6459752140978864e-06,1,5.6459752140978864e-06,0.99999435402478587,0,UNKNOWN,0.20000169379256422,0,1,0,0.99999435402478587,0,0,0,0,0,-1,-1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6459752140978864e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99999435402478587,0,5.6459752140978864e-06,0.99999435402478587
