method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Weighted Sum,communication_duration_13100,45,45,0,45,1.0,1.0,0,0,,1.0,1.0,200.0,5759.999999999999,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,45,1.0,45,1.0,41,1.0,41,0,0,1.0,1.0,0.0,0.0,0,0,0.9213484012671117,1
Weighted Sum,pump_degraded,180,180,0,133,0.7388888888888889,0.7388888888888889,47,0,,1.0,0.7388888888888889,0.0,6739.999999999999,0,0.0,0,0,0.0,0.0,,0.0,133,1.0,0,0,0,180,0.7388888888888889,180,0.7388888888888889,180,0.7388888888888889,73,0,60,1.0,1.0,0.0,0.0,0,0,0.6702078675625001,0.7975865056527294
Weighted Sum,fan_stuck_off,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,200.0,400.0,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,50,4,6,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
Weighted Sum,delayed_update,80,80,0,49,0.6125,0.6125,6,0,,1.0,0.6125,200.0,4619.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.8421052631578947,32,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Weighted Sum,dropped_update,80,80,0,49,0.6125,0.6125,2,0,,1.0,0.6125,200.0,6119.999999999999,0,0.0,0,0,0.0,0.0,,0.0,49,1.0,0,0,0,80,0.6125,80,0.6125,38,0.9473684210526315,36,0,0,1.0,1.0,0.0,0.0,0,0,0.5029365721075572,0.7117543487469493
Weighted Sum,replayed_sample,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,80,1.0,0,0,0,80,1.0,80,1.0,43,1.0,43,0,0,1.0,1.0,0.0,0.0,0,0,0.9541818704644728,0.9999999999999999
Weighted Sum,benign_static_target,150,0,150,0,,,0,0,0.0,,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Weighted Sum,slow_static_target,60,60,0,0,0.0,0.0,60,0,,,0.0,,,0,,0,0,,,,,0,,0,0,0,60,0.0,60,0.0,60,0.0,0,0,0,1.0,1.0,0.0,0.0,0,0,0,0.06017185214208986
Weighted Sum,benign_authorized_updates,150,0,150,0,,,0,150,1.0,0.0,,,,0,,0,0,,,,,0,,0,0,0,0,,0,,0,,0,0,0,1.0,1.0,0.0,0.0,0,0,,
Weighted Sum,slow_authorized_updates,60,60,0,60,1.0,1.0,0,0,,1.0,1.0,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,60,1.0,60,1.0,60,1.0,0,0,60,1.0,1.0,0.0,0.0,0,0,0.93982814785791,0.9999999999999998
