method,group,runs,faulty_runs,benign_runs,detected,coverage,macro_coverage,silent_plant,benign_false_alarms,benign_false_alarm_rate,precision,recall,latency_median_ms,latency_p95_ms,localized,localization_coverage,correct_localizations,wrong_localizations,localization_accuracy,macro_localization_accuracy,accuracy_when_localized,wrong_localization_rate,unknown,unknown_rate,localized_before_plant,preinjection_alarm_runs,propagation_supported_runs,control_effect_runs,coverage_given_control_effect,actuator_effect_runs,coverage_given_actuator_effect,plant_manifestation_runs,coverage_given_plant_manifestation,pre_plant_alarms,same_plant_alarms,post_plant_alarms,mean_anomaly_ignorance,mean_origin_ignorance,mean_detection_conflict,mean_localization_conflict,high_detection_conflict_runs,high_localization_conflict_runs,ci_low,ci_high
Weighted Sum,pump_degraded,180,180,0,133,0.7388888888888889,0.7388888888888889,47,0,,1.0,0.7388888888888889,0.0,6739.999999999999,0,0.0,0,0,0.0,0.0,,0.0,133,1.0,0,0,0,180,0.7388888888888889,180,0.7388888888888889,180,0.7388888888888889,73,0,60,1.0,1.0,0.0,0.0,0,0,0.6702078675625001,0.7975865056527294
Weighted Sum,replayed_sample,80,80,0,80,1.0,1.0,0,0,,1.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0.0,,0.0,80,1.0,0,0,0,80,1.0,80,1.0,43,1.0,43,0,0,1.0,1.0,0.0,0.0,0,0,0.9541818704644728,0.9999999999999999
Weighted Sum,sensor_bias,60,60,0,33,0.55,0.55,27,0,,1.0,0.55,4400.0,5600.0,0,0.0,0,0,0.0,0.0,,0.0,33,1.0,0,0,0,60,0.55,60,0.55,60,0.55,0,0,33,1.0,1.0,0.0,0.0,0,0,0.4249193588533434,0.6690634559324476
Weighted Sum,sensor_bias_ramp,120,120,0,60,0.5,0.5,60,0,,1.0,0.5,5450.0,7209.999999999999,0,0.0,0,0,0.0,0.0,,0.0,60,1.0,0,0,0,120,0.5,120,0.5,120,0.5,0,0,60,1.0,1.0,0.0,0.0,0,0,0.41193870541108385,0.5880612945889161
Weighted Sum,sensor_interface_intermittent,60,60,0,45,0.75,0.75,14,0,,1.0,0.75,200.0,7300.0,0,0.0,0,0,0.0,0.0,,0.0,45,1.0,0,0,0,60,0.75,60,0.75,58,0.7586206896551724,21,0,23,1.0,1.0,0.0,0.0,0,0,0.6276792992295218,0.8422347746994333
Weighted Sum,stuck_bit,180,180,0,134,0.7444444444444445,0.7444444444444445,1,0,,1.0,0.7444444444444445,0.0,6934.999999999999,0,0.0,0,0,0.0,0.0,,0.0,134,1.0,0,0,0,124,0.9919354838709677,122,0.9918032786885246,122,0.9918032786885246,121,0,0,1.0,1.0,0.0,0.0,0,0,0.6760800873181166,0.8025932248090947
Weighted Sum,task_delay,120,120,0,120,1.0,1.0,0,0,,1.0,1.0,100.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,120,1.0,0,0,0,120,1.0,120,1.0,115,1.0,112,3,0,1.0,1.0,0.0,0.0,0,0,0.9689808335812966,1
Simple OR,ALL,1500,1200,300,903,0.7525,0.7525000000000001,197,150,0.5,0.8575498575498576,0.7525,100.0,6600.0,0,0.0,0,0,0.0,0.0,,0.0,903,1.0,0,0,0,1144,0.7797202797202797,1142,0.7793345008756567,973,0.7975334018499486,557,7,212,1.0,1.0,0.0,0.0,0,0,0.7273026115688646,0.7760859331267542
Simple OR,MEMORY,240,240,0,179,0.7458333333333333,0.7458333333333333,16,0,,1.0,0.7458333333333333,0.0,6809.999999999999,0,0.0,0,0,0.0,0.0,,0.0,179,1.0,0,0,0,184,0.9130434782608695,182,0.9120879120879121,182,0.9120879120879121,151,0,15,1.0,1.0,0.0,0.0,0,0,0.6871754052016925,0.7967455841603746
Simple OR,TIMING,240,240,0,240,1.0,1.0,0,0,,1.0,1.0,50.0,100.0,0,0.0,0,0,0.0,0.0,,0.0,240,1.0,0,0,0,240,1.0,240,1.0,194,1.0,191,3,0,1.0,1.0,0.0,0.0,0,0,0.9842460800584412,1
